apelido,atleta_id,clube_id,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG
Khevin,43,315,0,0.0,Khevin Rodrigo Fraga,0.0,4,2.0,1,5,0.0,,,,,,,,,,,,,,,,
Brenner,44,263,1,1.0,Brenner Marlos Varanda de Oliveira,1.0,5,4.13,1,7,-0.87,,,,,2.0,,1.0,3.0,,,,,,1.0,,
Yago,45,263,0,0.0,Yago Fernando da Silva,0.0,3,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Igor Rabello,46,263,1,9.2,Igor Rabello da Costa,9.2,3,13.92,1,7,2.92,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,
Saulo,47,263,0,0.0,Saulo Ferreira Silva Nascimento,0.0,1,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Leandrinho,48,263,0,0.0,Leandro Alves de Carvalho,0.0,4,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Marcelo,49,263,0,0.0,Marcelo Machado dos Santos ,0.0,4,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Yuri,50,263,0,0.0,Yuri Antonio Costa da Silva,0.0,2,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Leandro Carvalho,51,263,1,5.5,Leandro Carvalho da Silva,5.5,5,5.86,1,7,2.86,,,,,,,1.0,4.0,,,,,,1.0,2.0,
Kanu,52,263,0,0.0,Victor Hugo Soares dos Santos,0.0,3,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Leonardo Valencia,53,263,1,3.6,Leonardo Felipe Valencia Rossel,3.6,4,6.61,1,7,0.61,,,,,,2.0,1.0,2.0,,,,,,2.0,,
Matheus Fernandes,54,263,1,8.4,Matheus Fernandes Siqueira,8.4,4,9.92,1,7,3.92,,,,,,1.0,,,,,,,,1.0,5.0,
Joel Carli,55,263,1,1.6,Mauro Joel Carli,1.6,3,6.61,1,7,-1.39,,,,,1.0,,,,,,,,,3.0,2.0,
Gustavo Bochecha,56,263,1,4.9,Gustavo Costa da Silva Machado,4.9,4,4.06,1,7,3.06,,,,,1.0,,,,,,,,,2.0,4.0,
Pachu,57,263,0,0.0,Luiz Henrique Pachu Lira,0.0,5,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Luiz Fernando ,58,263,0,0.0,Luiz Fernando Moraes dos Santos,0.0,4,5.0,1,5,0.0,,,,,,,,,,,,,,,,
Marcelo Benevenuto,59,263,0,0.0,Marcelo da Conceição Benevenuto Malaquias,0.0,3,8.0,1,6,0.0,,,,,,,,,,,,,,,,
Marcinho,60,263,1,1.1,Márcio Almeida de Oliveira,1.1,2,4.89,1,7,-1.11,,1.0,,,1.0,,,3.0,,,,,,3.0,2.0,
Lucas Campos,61,263,0,0.0,Lucas da Silva Ribeiro Campos,0.0,5,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Helerson,62,263,0,0.0,Helerson Mateus do Nascimento,0.0,3,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Marcelo Chamusca,63,354,1,1.19,Marcelo Augusto Oliveira Chamusca,1.19,6,2.2,1,7,0.2,,,,,,,,,,,,,,,,
Ezequiel,64,263,0,0.0,Ezequiel Santos da Silva,0.0,5,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Fernando Henrique,65,354,0,0.0,Fernando Henrique dos Anjos,0.0,1,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Roberto,66,354,1,1.2,Roberto César Zardin Rodrigues,1.2,5,4.96,1,6,-1.04,,,,,,,,,,,,,,1.0,1.0,
Felipe Azevedo,67,354,1,-0.7,Felipe Azevedo dos Santos,-0.7,5,5.72,1,7,-3.28,,,,,,,,1.0,,,,,,4.0,,
Renan,68,354,0,0.0,Renan Brito Soares,0.0,1,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Rafael Pereira,69,354,0,0.0,Rafael Pereira dos Santos,0.0,3,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Pedro Ken,70,354,0,0.0,Pedro Ken Morimoto Moreira,0.0,4,5.0,1,5,0.0,,,,,,,,,,,,,,,,
Elton,71,354,0,0.0,Elton Rodrigues Brandão,0.0,5,7.0,1,6,0.0,,,,,,,,,,,,,,,,
Ernandes,72,354,1,0.5,Ernandes Dias Luz,0.5,2,2.41,1,7,-0.59,,,,,,,1.0,,,,,,,1.0,,
Jackson Caucaia,73,354,0,0.0,Francisco Jackson Menezes da Costa,0.0,4,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Reina,74,354,1,1.9,Javier Arley Reina Calvo,1.9,4,3.38,1,6,0.38,,,,,,1.0,,2.0,,,,,,1.0,,
Wescley,75,354,1,0.9,Wescley Gomes dos Santos,0.9,4,4.06,1,7,-0.94,,,,,2.0,,,2.0,,,,,,2.0,1.0,
Éverson,76,354,1,2.0,Éverson Felipe Marques Pires,2.0,1,6.2,1,7,-0.8,,,,2.0,,,,,,,,2.0,,,,
Juninho,77,354,1,-0.1,Paulo Roberto Valoura Júnior,-0.1,4,4.06,1,7,-1.94,,,,,,,1.0,,,,,,,8.0,1.0,
Pio,78,354,1,0.1,Francisco Hércules de Araújo,0.1,4,4.2,1,7,-1.8,,,,,1.0,,,1.0,,,1.0,,,3.0,4.0,
Bruno Pires,79,354,0,0.0,Bruno Batista Pereira Pires,0.0,3,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Leandro Silva,80,354,0,0.0,Leandro da Silva,0.0,2,7.0,1,6,0.0,,,,,,,,,,,,,,,,
Ricardinho,81,354,1,0.0,Ricardo Dias Acosta,0.0,4,4.82,1,7,-2.18,,,,,,,,,,,,,,,,
Luiz Otávio,82,354,1,2.7,Luiz Otávio Anacleto Leandro,2.7,3,5.99,1,7,-0.01,,,,,,,,,,,,,,1.0,2.0,
Naldo,83,354,0,0.0,Marinaldo dos Santos Oliveira,0.0,4,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Alex Amado,84,354,0,0.0,Alex Broch Amado,0.0,5,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Rafael Carioca,85,354,1,-2.0,Rafael Bruno Cajueiro da Silva,-2.0,2,1.38,1,7,-2.62,,1.0,,,2.0,,1.0,1.0,,,,,,6.0,1.0,
Romário Rodrigues,86,354,0,0.0,Romário Marques Rodrigues,0.0,5,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Leandro Canhoto,87,354,0,0.0,Leandro Porto Torma,0.0,4,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Douglas Coutinho ,88,354,0,0.0,Douglas Coutinho Gomes de Souza,0.0,5,6.0,1,6,0.0,,,,,,,,,,,,,,,,
Rafael Moura,89,327,1,5.1,Rafael Martiniano de Miranda Moura,5.1,5,10.4,1,7,0.4,1.0,,,,1.0,,1.0,,,,,,1.0,4.0,1.0,
Romário ,90,354,0,0.0,Romário Guilherme dos Santos,0.0,2,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Fernando Leal,91,327,0,0.0,Fernando Leal Fonseca,0.0,1,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Valdo,92,354,1,3.0,Andrevaldo de Jesus Santos,3.0,3,5.51,1,7,0.51,,,,,,,,,,,,,,,2.0,
David,93,327,0,0.0,David França Oliveira e Silva,0.0,4,3.0,1,5,0.0,,,,,,,,,,,,,,,,
Rodriguinho,94,264,1,16.5,Rodrigo Eduardo Costa Marinho,16.5,4,23.08,1,7,6.08,,,,,1.0,,,2.0,,2.0,,,,5.0,1.0,
Matheus Ferraz,95,327,0,0.0,Matheus Ferraz Pereira,0.0,3,6.0,1,6,0.0,,,,,,,,,,,,,,,,
Wesley,96,327,1,-0.5,Wesley Lopes Beltrame,-0.5,4,3.1,1,6,-1.9,,,,,1.0,,,,,,,,,,,
Moisés,97,263,0,0.0,Moisés Roberto Barbosa,0.0,2,7.0,1,5,0.0,,,,,,,,,,,,,,,,
Rafael Lima,98,327,1,6.2,Rafael Ramos de Lima,6.2,3,8.4,1,7,2.4,,,,,,,,,,,,,,1.0,1.0,1.0
Gerson Magrão,99,327,1,1.2,Gerson Alencar de Lima Junior,1.2,4,4.27,1,6,-0.73,,,,,,,,,,,,,,1.0,1.0,
Lima,100,327,0,0.0,Willian Lanes de Lima,0.0,3,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Marquinhos,101,327,0,0.0,Marcos Antônio da Silva Gonçalves,0.0,5,7.0,1,6,0.0,,,,,,,,,,,,,,,,
Renan Oliveira,102,327,0,0.0,Renan Henrique Oliveira Vieira,0.0,4,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Giovanni,103,327,0,0.0,Giovanni Palmieri dos Santos,0.0,2,6.0,1,5,0.0,,,,,,,,,,,,,,,,
Enderson Moreira,104,327,1,10.05,Enderson Alves Moreira,10.05,6,8.99,1,7,5.99,,,,,,,,,,,,,,,,
Carlinhos,105,327,1,15.9,Carlos Emiliano Pereira,15.9,2,14.4,1,7,9.4,,,,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0
João Ricardo,106,327,0,0.0,João Ricardo Riedi,0.0,1,6.0,1,5,0.0,,,,,,,,,,,,,,,,
Juninho,107,327,1,2.6,Adilson dos Anjos Oliveira,2.6,4,4.55,1,7,0.55,,,,,2.0,,,3.0,,,,,,3.0,2.0,
Luan,108,327,1,11.7,Luan Michel de Louzã,11.7,5,12.88,1,7,5.88,1.0,1.0,,,3.0,1.0,2.0,2.0,,,,,1.0,2.0,5.0,
Ruy,109,327,0,0.0,Ruy Franco de Almeida Junior,0.0,4,6.0,1,6,0.0,,,,,,,,,,,,,,,,
Norberto ,110,327,1,10.9,Norberto Pereira Marinho Neto,10.9,2,9.58,1,7,6.58,,,,,,,,1.0,,,,,,2.0,4.0,1.0
Glauco,111,327,0,0.0,Glauco Tadeu Chaves,0.0,1,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Aylon,112,327,1,5.1,Aylon Darwin Tavella,5.1,5,7.65,1,7,1.65,,,,,1.0,,2.0,2.0,,,,,,,2.0,
