id,nome,abreviacao,escudos,posicao,id_clubes
292,Sport,SPO,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/sport65.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/sport45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2015/07/21/sport30.png'}",1.0,292
293,Atlético-PR,ATL,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2015/06/24/atletico-pr_2015_65.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2015/06/24/atletico-pr_2015_45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2015/06/24/atletico-pr_2015_30.png'}",1.0,293
294,Coritiba,COR,"{'60x60': '', '45x45': '', '30x30': ''}",,294
303,Ponte Preta,PON,"{'60x60': '', '45x45': '', '30x30': ''}",,303
3057,Boa Esporte,BEC,"{'60x60': '', '45x45': '', '30x30': ''}",,3057
306,Santo André,SAN,"{'60x60': '', '45x45': '', '30x30': ''}",,306
314,Avaí,AVA,"{'60x60': '', '45x45': '', '30x30': ''}",,314
315,Chapecoense,CHA,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2015/08/03/Escudo-Chape-165.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2015/08/03/Escudo-Chape-145.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2015/08/03/Escudo-Chape-130.png'}",1.0,315
316,Figueirense,FIG,"{'60x60': '', '45x45': '', '30x30': ''}",,316
317,Joinville,JEC,"{'60x60': '', '45x45': '', '30x30': ''}",,317
327,América-MG,AME,"{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/01/24/AmericaMG-65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/01/24/AmericaMG-45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/2018/01/24/AmericaMG-30.png'}",1.0,327
342,ASA Arapiraca,ASA,"{'60x60': '', '45x45': '', '30x30': ''}",,342
343,Náutico,NAU,"{'60x60': '', '45x45': '', '30x30': ''}",,343
344,Santa Cruz,STC,"{'60x60': '', '45x45': '', '30x30': ''}",,344
350,ABC,ABC,"{'60x60': '', '45x45': '', '30x30': ''}",,350
351,América-RN,AME,"{'60x60': '', '45x45': '', '30x30': ''}",,351
354,Ceará,CEA,"{'60x60': 'https://s.glbimg.com/es/sde/f/equipes/2014/04/14/ceara_60x60.png', '45x45': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/ceara_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/equipes/2013/12/16/ceara_30x30.png'}",1.0,354
356,Fortaleza,FOR,"{'60x60': '', '45x45': '', '30x30': ''}",,356
362,Moto Club,MOT,"{'60x60': '', '45x45': '', '30x30': ''}",,362
363,Sampaio Corrêa,SAM,"{'60x60': '', '45x45': '', '30x30': ''}",,363
364,Remo,REM,"{'60x60': '', '45x45': '', '30x30': ''}",,364
373,Atlético-GO,ATL,"{'60x60': '', '45x45': '', '30x30': ''}",,373
375,Vila Nova,VIL,"{'60x60': '', '45x45': '', '30x30': ''}",,375
386,São Caetano,SAO,"{'60x60': '', '45x45': '', '30x30': ''}",,386
388,Brasiliense,BRA,"{'60x60': '', '45x45': '', '30x30': ''}",,388
