apelido,atleta_id,id_clubes,jogos_num,media_num,nome_atleta,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,nome_clube,abreviacao_clube,aproveitamento_mandante,aproveitamento_visitante,clube_casa_id,clube_visitante_id,nome_status,nome_posicao,abreviacao_posicao
Edigar Junio,14,265,1,"0,9",Edigar Junio Teixeira Lima ,"0,9",5,"6,82",1,7,"-2,18",,,,,"2,0",,,,,,,,"1,0","2,0","2,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Atacante,ata
Marco Antônio,18,265,1,"1,5",Marco Antônio Rosa Furtado Júnior,"1,5",4,"1,72",1,7,"0,72",,,,,,,,,,,,,,,"1,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Meia,mei
Léo,19,265,1,"3,5",Leonardo Pinheiro da Conceição,"3,5",2,"5,86",1,7,"0,86",,,,,"1,0",,"1,0","1,0",,,,,,"1,0","2,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Lateral,lat
Gregore,20,265,1,"4,3",Gregore de Magalhães da Silva,"4,3",4,"5,03",1,7,"2,03",,,,,"3,0",,"1,0","1,0",,,,,,,"3,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Meia,mei
Guto Ferreira,536,265,1,"2,48",Augusto Sérgio Ferreira,"2,48",6,"6,53",1,7,"-0,47",,,,,,,,,,,,,,,,,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Técnico,tec
Nino Paraíba,542,265,1,"7,2",Severino do Ramo Clementino da Silva,"7,2",2,"9,09",1,7,"3,09",,,,,,,"1,0","2,0",,,,,,"2,0","4,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Lateral,lat
Jackson,544,265,0,"0,0",Jackson de Souza,"0,0",3,"4,0",1,5,"0,0",,,,,,,,,,,,,,,,,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Contundido,Zagueiro,zag
Elton,547,265,1,"2,9",Elton Junior Melo Ataíde,"2,9",4,"6,13",1,7,"0,13",,,,,"3,0",,,"1,0",,,,,,"2,0","3,0",,Bahia,BAH,"['', '', '', '', 'd']","['', '', '', '', 'v']",265,277,Provável,Meia,mei
Renato Chaves,186,266,1,"-0,1",Renato de Araújo Chaves Júnior,"-0,1",3,"4,75",1,7,"-2,25",,,,,"2,0",,,,,,,,,"2,0","1,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Zagueiro,zag
Júlio César,187,266,1,"-4,3",Júlio César Jacobi,"-4,3",1,"2,55",1,7,"-5,45",,,,,,,,,,,,"2,0",,"1,0",,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Goleiro,gol
Jadson,189,266,1,"6,9",Jadson Alves dos Santos,"6,9",4,"8,89",1,7,"2,89",,,,,"2,0",,"1,0","1,0",,,,,,"3,0","5,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Meia,mei
Pablo Dyego,195,266,1,"3,3",Pablo Dyego da Silva Rosa,"3,3",5,"3,65",1,7,"1,65",,,,,"1,0","1,0","1,0","3,0",,,,,,"4,0","1,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Atacante,ata
Gilberto ,196,266,1,"-0,7",Gilberto Moraes Júnior,"-0,7",2,"5,03",1,7,"-2,97",,,,,"2,0",,,,,,,,,"4,0","1,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Lateral,lat
Ayrton Lucas,197,266,1,"4,3",Ayrton Lucas Dantas de Medeiros,"4,3",2,"7,78",1,7,"0,78",,,,,"1,0",,"1,0","5,0",,,,,,,"1,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Lateral,lat
Richard,200,266,1,"16,2",Richard Cândido Coelho,"16,2",4,"14,61",1,7,"9,61",,,,,,,"1,0","1,0",,"1,0",,,,"2,0","5,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Meia,mei
Pedro,203,266,1,"6,0",Pedro Guilherme Abreu dos Santos,"6,0",5,"8,27",1,7,"2,27","1,0",,,,"2,0","1,0","1,0",,,,,,,,,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Atacante,ata
Marcos Calazans,206,266,0,"0,0",Marcos Vinícius Silva Rocha Calazans,"0,0",5,"3,0",1,5,"0,0",,,,,,,,,,,,,,,,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Contundido,Atacante,ata
Frazan,209,266,1,"-0,5",Wesley Frazan Bernardo,"-0,5",3,"1,72",1,2,"-1,28",,,,,"1,0",,,,,,,,,,,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Dúvida,Zagueiro,zag
Gum,210,266,1,"-0,8",Welington Pereira Rodrigues,"-0,8",3,"2,89",1,7,"-2,11",,,,,"2,0",,"1,0",,,,,,,"2,0",,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Zagueiro,zag
Sornoza,211,266,1,"7,2",Júnior Nazareno Sornoza Moreira,"7,2",4,"8,4",1,7,"3,4",,,,,,"2,0",,,,,,,,"4,0","4,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Meia,mei
Ibañez,214,266,1,"2,7",Roger Ibañez da Silva,"2,7",3,"5,99",1,2,"-0,01",,,,,,,,,,,,,,"1,0","2,0",,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Dúvida,Zagueiro,zag
Abel Braga,235,266,1,"3,61",Abel Carlos da Silva Braga,"3,61",6,"10,06",1,7,"-0,94",,,,,,,,,,,,,,,,,Fluminense,FLU,"['', '', '', '', 'd']","['', '', '', '', 'd']",266,283,Provável,Técnico,tec
Khevin,43,315,0,"0,0",Khevin Rodrigo Fraga,"0,0",4,"2,0",1,5,"0,0",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Contundido,Meia,mei
Márcio Araújo,127,315,1,"-1,8",Márcio Rodrigues Araújo,"-1,8",4,"2,89",1,7,"-3,11",,"1,0",,,"2,0",,,,,,,,,"1,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Meia,mei
Gilson Kleina,130,315,1,"1,58",Gilson Kleina,"1,58",6,"5,22",1,7,"-0,78",,,,,,,,,,,,,,,,,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Técnico,tec
Apodi,133,315,1,"1,5",Luiz Diallison de Souza Alves,"1,5",2,"5,86",1,7,"-1,14",,,,,"2,0",,"2,0",,,,,,,"2,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Lateral,lat
Amaral,134,315,1,"1,4",William José de Souza,"1,4",4,"5,1",1,7,"-0,9",,,,,,,,"1,0",,,,,,"2,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Meia,mei
Vinicius,135,315,1,"2,2",Vinicius Santos Silva,"2,2",5,"4,27",1,7,"0,27",,,,,"1,0",,"1,0","2,0",,,,,,"2,0","1,0",,Chapecoense,CHA,"['', '', '', '', 'd']","['', '', '', '', 'v']",315,267,Provável,Atacante,ata
